type	id	lat	long
rta	G0A	46.8524	-72.0259
rta	G0B	47.3983	-61.7742
rta	G0C	48.1496	-65.7053
rta	G0E	48.9298	-64.3438
rta	G0G	50.1169	-62.4136
rta	G0H	49.1633	-68.3335
rta	G0J	49.0226	-66.8158
rta	G0K	48.3473	-68.3948
rta	G0L	47.6843	-68.8681
rta	G0M	46.2057	-70.8326
rta	G0N	46.0651	-71.4352
rta	G0P	45.8641	-71.6523
rta	G0R	46.9055	-70.7456
rta	G0S	46.2635	-70.7929
rta	G0T	47.6525	-70.4067
rta	G0V	48.3448	-70.9869
rta	G0W	48.8854	-72.4433
rta	G0X	46.6996	-72.643
rta	G0Y	45.6544	-71.0379
rta	G0Z	46.152	-72.1347
rta	G1A	46.9181	-71.2036
rta	G1B	46.9179	-71.1964
rta	G1C	46.8886	-71.2212
rta	G1E	46.876	-71.192
rta	G1G	46.8921	-71.3056
rta	G1H	46.8615	-71.2698
rta	G1J	46.8483	-71.234
rta	G1K	46.8143	-71.2431
rta	G1L	46.8396	-71.2506
rta	G1M	46.8165	-71.236
rta	G1N	46.81	-71.2526
rta	G1P	46.8257	-71.331
rta	G1R	46.8128	-71.2194
rta	G1S	46.7867	-71.2436
rta	G1T	46.7863	-71.2579
rta	G1V	46.789	-71.2936
rta	G1W	46.7673	-71.2857
rta	G1X	46.7828	-71.3149
rta	G1Y	46.7595	-71.3433
rta	G2A	46.8681	-71.3787
rta	G2B	46.8569	-71.3506
rta	G2C	46.8342	-71.3463
rta	G2E	46.8175	-71.371
rta	G2G	46.8119	-71.3906
rta	G2J	46.8428	-71.2774
rta	G2K	46.8105	-71.2426
rta	G2L	46.8921	-71.2732
rta	G2M	46.9159	-71.3163
rta	G2N	46.9338	-71.3446
rta	G3A	46.7529	-71.3734
rta	G3E	46.8765	-71.3233
rta	G3G	46.9445	-71.4133
rta	G3H	46.756	-71.6969
rta	G3J	46.8617	-71.4241
rta	G3K	46.8388	-71.3998
rta	G3L	46.8897	-71.8349
rta	G3M	46.6725	-71.7368
rta	G3Z	47.4454	-70.5199
rta	G4A	47.695	-70.2239
rta	G4R	50.2206	-66.3581
rta	G4S	50.2309	-66.3901
rta	G4T	47.5371	-61.5387
rta	G4V	49.1283	-66.4906
rta	G4W	48.8526	-67.518
rta	G4X	48.8319	-64.4813
rta	G4Z	49.2446	-68.1442
rta	G5A	47.6259	-70.0967
rta	G5B	50.0382	-66.8659
rta	G5C	49.1962	-68.2976
rta	G5H	48.5949	-68.1883
rta	G5J	48.4584	-67.4333
rta	G5L	48.4525	-68.5232
rta	G5M	48.4547	-68.4973
rta	G5N	48.4277	-68.5122
rta	G5R	47.8559	-69.5376
rta	G5T	47.5521	-68.6441
rta	G5V	46.9984	-70.5595
rta	G5X	46.2093	-70.7788
rta	G5Y	46.13	-70.6557
rta	G5Z	46.1231	-70.647
rta	G6A	46.1379	-70.6715
rta	G6B	45.5946	-70.9176
rta	G6C	46.7557	-71.124
rta	G6E	46.4691	-71.0427
rta	G6G	46.1134	-71.3108
rta	G6H	46.0654	-71.356
rta	G6J	46.6561	-71.3095
rta	G6K	46.7038	-71.2837
rta	G6L	46.2255	-71.7779
rta	G6P	46.0606	-71.9477
rta	G6R	46.0388	-71.9596
rta	G6S	46.0714	-71.9332
rta	G6T	46.0477	-71.9549
rta	G6V	46.8207	-71.1787
rta	G6W	46.7933	-71.1885
rta	G6X	46.7228	-71.2788
rta	G6Z	46.7391	-71.2055
rta	G7A	46.6709	-71.3548
rta	G7B	48.3133	-70.8557
rta	G7G	48.4572	-71.0591
rta	G7H	48.4337	-71.0225
rta	G7J	48.4377	-71.1244
rta	G7K	48.3976	-71.11
rta	G7N	48.3084	-71.1104
rta	G7P	48.51	-71.268
rta	G7S	48.4099	-71.1961
rta	G7T	48.4112	-71.2149
rta	G7X	48.4359	-71.2318
rta	G7Y	48.3933	-71.267
rta	G7Z	48.4327	-71.262
rta	G8A	48.4244	-71.2619
rta	G8B	48.5468	-71.6399
rta	G8C	48.5292	-71.642
rta	G8E	48.5592	-71.6416
rta	G8G	48.4223	-71.8737
rta	G8H	48.5044	-72.2165
rta	G8J	48.5774	-72.441
rta	G8K	48.6556	-72.4469
rta	G8L	48.8707	-72.2141
rta	G8M	48.8892	-72.1938
rta	G8N	48.3942	-71.6775
rta	G8P	49.9214	-74.3601
rta	G8T	46.419	-72.6006
rta	G8V	46.3887	-72.4875
rta	G8W	46.4024	-72.5846
rta	G8Y	46.3688	-72.58
rta	G8Z	46.3648	-72.5564
rta	G9A	46.3647	-72.5558
rta	G9B	46.3111	-72.5718
rta	G9C	46.3938	-72.6534
rta	G9H	46.3445	-72.4369
rta	G9N	46.5429	-72.748
rta	G9P	46.5258	-72.7381
rta	G9R	46.576	-72.7764
rta	G9T	46.6168	-72.7336
rta	G9X	47.4583	-72.7729
rta	H0H	90.0	0.0
rta	H0M	45.6986	-73.5025
rta	H1A	45.6587	-73.5236
rta	H1B	45.6454	-73.5502
rta	H1C	45.6596	-73.5704
rta	H1E	45.6595	-73.5729
rta	H1G	45.6061	-73.6389
rta	H1H	45.5829	-73.6524
rta	H1J	45.6036	-73.569
rta	H1K	45.6077	-73.5428
rta	H1L	45.5943	-73.5362
rta	H1M	45.5902	-73.5559
rta	H1N	45.5719	-73.5499
rta	H1P	45.6105	-73.6048
rta	H1R	45.5844	-73.6229
rta	H1S	45.5716	-73.5985
rta	H1T	45.5653	-73.5869
rta	H1V	45.5702	-73.551
rta	H1W	45.5423	-73.5616
rta	H1X	45.5577	-73.5935
rta	H1Y	45.5525	-73.598
rta	H1Z	45.5652	-73.6444
rta	H2A	45.5583	-73.6118
rta	H2B	45.5664	-73.647
rta	H2C	45.5593	-73.6719
rta	H2E	45.5522	-73.6256
rta	H2G	45.5434	-73.6061
rta	H2H	45.5377	-73.5837
rta	H2J	45.5289	-73.5928
rta	H2K	45.53	-73.5672
rta	H2L	45.5252	-73.5744
rta	H2M	45.55	-73.6515
rta	H2N	45.5402	-73.659
rta	H2P	45.5409	-73.6418
rta	H2R	45.5452	-73.6266
rta	H2S	45.5356	-73.6144
rta	H2T	45.5278	-73.6024
rta	H2V	45.5298	-73.6153
rta	H2W	45.5194	-73.5839
rta	H2X	45.5148	-73.5739
rta	H2Y	45.508	-73.554
rta	H2Z	45.5066	-73.5623
rta	H3A	45.5078	-73.5804
rta	H3B	45.5058	-73.5672
rta	H3C	45.503	-73.5679
rta	H3E	45.4679	-73.5457
rta	H3G	45.5019	-73.5853
rta	H3H	45.5123	-73.5967
rta	H3J	45.4922	-73.5725
rta	H3K	45.4858	-73.564
rta	H3L	45.5529	-73.6754
rta	H3M	45.5459	-73.6979
rta	H3N	45.5335	-73.6464
rta	H3P	45.5209	-73.653
rta	H3R	45.5181	-73.6545
rta	H3S	45.5155	-73.6292
rta	H3T	45.5115	-73.616
rta	H3V	45.4965	-73.6177
rta	H3W	45.4988	-73.6442
rta	H3X	45.4915	-73.6483
rta	H3Y	45.489	-73.618
rta	H3Z	45.4909	-73.5885
rta	H4A	45.4781	-73.6252
rta	H4B	45.4681	-73.636
rta	H4C	45.478	-73.5922
rta	H4E	45.468	-73.5863
rta	H4G	45.4644	-73.5798
rta	H4H	45.4532	-73.5818
rta	H4J	45.5353	-73.7231
rta	H4K	45.5248	-73.7392
rta	H4L	45.5269	-73.6974
rta	H4M	45.5067	-73.6906
rta	H4N	45.5329	-73.6807
rta	H4P	45.4991	-73.6722
rta	H4R	45.5148	-73.7309
rta	H4S	45.4958	-73.754
rta	H4T	45.4954	-73.6798
rta	H4V	45.4755	-73.6555
rta	H4W	45.478	-73.6704
rta	H4X	45.4575	-73.6649
rta	H4Y	45.5103	-73.6818
rta	H4Z	45.5003	-73.5621
rta	H5A	45.503	-73.5679
rta	H5B	45.5066	-73.5623
rta	H7A	45.6736	-73.5919
rta	H7B	45.6346	-73.6769
rta	H7C	45.6176	-73.6637
rta	H7E	45.6142	-73.669
rta	H7G	45.5565	-73.6791
rta	H7H	45.6429	-73.7494
rta	H7J	45.6837	-73.6728
rta	H7K	45.6121	-73.7898
rta	H7L	45.6303	-73.7802
rta	H7M	45.6089	-73.7331
rta	H7N	45.5772	-73.7007
rta	H7P	45.5917	-73.8293
rta	H7R	45.5483	-73.8578
rta	H7S	45.5732	-73.7444
rta	H7T	45.5569	-73.748
rta	H7V	45.5364	-73.7267
rta	H7W	45.549	-73.7641
rta	H7X	45.5359	-73.8231
rta	H7Y	45.5209	-73.8354
rta	H8N	45.4551	-73.6084
rta	H8P	45.4371	-73.5979
rta	H8R	45.4473	-73.6557
rta	H8S	45.4496	-73.6811
rta	H8T	45.4648	-73.7192
rta	H8Y	45.5145	-73.8162
rta	H8Z	45.5135	-73.8389
rta	H9A	45.5055	-73.823
rta	H9B	45.4937	-73.8132
rta	H9C	45.5141	-73.9012
