location	lat	long
01-Bas-Saint-Laurent	47.83523	-69.536
02-Saguenay - Lac-Saint-Jean	49.3783	-72.7306
03-Capitale-Nationale	46.8139	-71.2080
04-Mauricie et Centre-du-Quebec	46.663	-72.8512
05-Estrie	45.4042	-71.8929
06-Montreal	45.46175	-73.5564
07-Outaouais	45.92	-75.0054
08-Abitibi-Temiscamingue	46.7444	-76.0828
09-Cote-Nord	50.8967	-66.1497
10-Nord-du-Quebec	49.91	-74.36
11-Gaspesie - Iles-de-la-Madeleine	48.9468	-66.1234
12-Chaudiere-Appalaches	46.439	-71.0213
13-Laval	45.6018	-73.7895
14-Lanaudiere	46.1256	-73.7042
15-Laurentides	45.8941	-74.1579
16-Monteregie	45.2831	-72.9748
17-Nunavik	60.0342	-70.0118
18-Terres-Cries-de-la-Baie-James	51.7008	-76.0468
